archetype,learn_hands,repeat,equilibrium_ev,oracle_ev,guarded_ev,unguarded_ev
calling_station,5,13,0.0008411457306438386,0.33786519063119325,0.019351726581433172,0.028113912849303736
calling_station,5,14,0.0008411457306438386,0.33786519063119325,0.02184255770441014,0.027202482276205166
calling_station,20,0,0.0008411457306438386,0.33786519063119325,-0.0037171285397608264,-0.0037171285397608264
calling_station,20,1,0.0008411457306438386,0.33786519063119325,-0.003853155546183616,-0.00915168064463856
calling_station,20,2,0.0008411457306438386,0.33786519063119325,0.012396913390475793,0.05303320297664241
calling_station,20,3,0.0008411457306438386,0.33786519063119325,0.020628737042985873,0.020628737042985873
calling_station,20,4,0.0008411457306438386,0.33786519063119325,0.011671943908280899,0.05248298807391535
calling_station,20,5,0.0008411457306438386,0.33786519063119325,0.02563910032563241,0.030652651431359135
calling_station,20,6,0.0008411457306438386,0.33786519063119325,0.02300732101065233,0.02300732101065233
calling_station,20,7,0.0008411457306438386,0.33786519063119325,-0.011521986032428107,-0.011521986032428107
calling_station,20,8,0.0008411457306438386,0.33786519063119325,-0.020374913809720854,-0.032098089893650664
calling_station,20,9,0.0008411457306438386,0.33786519063119325,0.01817598587064389,0.01817598587064389
calling_station,20,10,0.0008411457306438386,0.33786519063119325,-0.019316414734952575,-0.0338579043486832
calling_station,20,11,0.0008411457306438386,0.33786519063119325,0.013375277651494995,0.04439615908644202
calling_station,20,12,0.0008411457306438386,0.33786519063119325,0.023287182873796105,0.023287182873796105
calling_station,20,13,0.0008411457306438386,0.33786519063119325,0.00644708411561095,0.00644708411561095
calling_station,20,14,0.0008411457306438386,0.33786519063119325,0.010395264400969106,0.010395264400969106
calling_station,60,0,0.0008411457306438386,0.33786519063119325,0.023286608897041244,0.035217510025833856
calling_station,60,1,0.0008411457306438386,0.33786519063119325,0.00438081433887496,0.038975393015630494
calling_station,60,2,0.0008411457306438386,0.33786519063119325,0.004365010484986977,0.038754099767940836
calling_station,60,3,0.0008411457306438386,0.33786519063119325,0.004276476648239949,0.030665685192265184
calling_station,60,4,0.0008411457306438386,0.33786519063119325,0.01143711427317378,0.046944019946169424
calling_station,60,5,0.0008411457306438386,0.33786519063119325,0.011470887601073988,0.05554393688361238
calling_station,60,6,0.0008411457306438386,0.33786519063119325,0.00440271452054989,0.03749919553393527
calling_station,60,7,0.0008411457306438386,0.33786519063119325,0.011665425046826924,0.056701956757784014
calling_station,60,8,0.0008411457306438386,0.33786519063119325,0.001610514117627325,0.009132929141278133
calling_station,60,9,0.0008411457306438386,0.33786519063119325,0.004386826253251576,0.03905964791479188
calling_station,60,10,0.0008411457306438386,0.33786519063119325,0.004397484868159052,0.03425802967291862
calling_station,60,11,0.0008411457306438386,0.33786519063119325,0.00439767723135643,0.03860282703776316
calling_station,60,12,0.0008411457306438386,0.33786519063119325,0.004396832280605591,0.03194305363235233
calling_station,60,13,0.0008411457306438386,0.33786519063119325,0.004362555621978487,0.03933657821513278
calling_station,60,14,0.0008411457306438386,0.33786519063119325,-0.0037154195642578533,-0.0037154195642578533
calling_station,150,0,0.0008411457306438386,0.33786519063119325,0.004369242189609192,0.039431806297307984
calling_station,150,1,0.0008411457306438386,0.33786519063119325,0.004369182372688164,0.03943095417597012
calling_station,150,2,0.0008411457306438386,0.33786519063119325,0.004388127823430607,0.0390778942683015
calling_station,150,3,0.0008411457306438386,0.33786519063119325,0.004368695590195197,0.03942401987305937
calling_station,150,4,0.0008411457306438386,0.33786519063119325,0.004369243407613348,0.03943182364841599
calling_station,150,5,0.0008411457306438386,0.33786519063119325,0.004369240755585868,0.03943178586889552
calling_station,150,6,0.0008411457306438386,0.33786519063119325,0.004369237362738872,0.03943173753602327
calling_station,150,7,0.0008411457306438386,0.33786519063119325,0.004369241327268306,0.03943179401281089
calling_station,150,8,0.0008411457306438386,0.33786519063119325,0.004368607317657237,0.03942276244413232
calling_station,150,9,0.0008411457306438386,0.33786519063119325,0.0043689799305912935,0.03942807031949708
calling_station,150,10,0.0008411457306438386,0.33786519063119325,0.004369233928014991,0.039431688606608215
calling_station,150,11,0.0008411457306438386,0.33786519063119325,0.004369236524732707,0.03943172559819039
calling_station,150,12,0.0008411457306438386,0.33786519063119325,0.004369243576986641,0.03943182606122773
calling_station,150,13,0.0008411457306438386,0.33786519063119325,0.004369017355238959,0.03942860344279174
calling_station,150,14,0.0008411457306438386,0.33786519063119325,0.004369239560623815,0.039431768846036094
calling_station,400,0,0.0008411457306438386,0.33786519063119325,0.004369243582563347,0.03943182614067042
calling_station,400,1,0.0008411457306438386,0.33786519063119325,0.004369243582563347,0.03943182614067042
calling_station,400,2,0.0008411457306438386,0.33786519063119325,0.004369243582563319,0.03943182614067038
calling_station,400,3,0.0008411457306438386,0.33786519063119325,0.004369243582563347,0.03943182614067042
calling_station,400,4,0.0008411457306438386,0.33786519063119325,0.004369243582563319,0.03943182614067044
calling_station,400,5,0.0008411457306438386,0.33786519063119325,0.004369243582563347,0.03943182614067042
