repeat,hand,decay,archetype,correct,confidence
0,2220,1.0,maniac,True,1.0
0,2220,0.999,maniac,True,1.0
0,2220,0.995,maniac,True,0.9999999982186832
0,2220,0.99,maniac,True,0.999959122051112
0,2220,0.98,maniac,True,0.9955557168983524
0,2240,1.0,maniac,True,1.0
0,2240,0.999,maniac,True,1.0
0,2240,0.995,maniac,True,0.9999999997166225
0,2240,0.99,maniac,True,0.999990897405513
0,2240,0.98,maniac,True,0.998243822883595
0,2260,1.0,maniac,True,1.0
0,2260,0.999,maniac,True,1.0
0,2260,0.995,maniac,True,0.9999999991262416
0,2260,0.99,maniac,True,0.9999689722861649
0,2260,0.98,maniac,True,0.9936141561830385
0,2280,1.0,maniac,True,1.0
0,2280,0.999,maniac,True,1.0
0,2280,0.995,maniac,True,0.9999999996501482
0,2280,0.99,maniac,True,0.9999861205350882
0,2280,0.98,maniac,True,0.9969253590351533
0,2300,1.0,maniac,True,1.0
0,2300,0.999,maniac,True,1.0
0,2300,0.995,maniac,True,0.9999999969609683
0,2300,0.99,maniac,True,0.9998865134080629
0,2300,0.98,maniac,True,0.9798840956246428
0,2320,1.0,maniac,True,1.0
0,2320,0.999,maniac,True,1.0
0,2320,0.995,maniac,True,0.9999999428521078
0,2320,0.99,maniac,True,0.9983311130316076
0,2320,0.98,maniac,True,0.8423573219442159
0,2340,1.0,maniac,True,1.0
0,2340,0.999,maniac,True,1.0
0,2340,0.995,maniac,True,0.9999993226250141
0,2340,0.99,maniac,True,0.9876489527802129
0,2340,0.98,maniac,True,0.6423161149304857
0,2360,1.0,maniac,True,1.0
0,2360,0.999,maniac,True,1.0
0,2360,0.995,maniac,True,0.999999897150769
0,2360,0.99,maniac,True,0.9983628517649318
0,2360,0.98,maniac,True,0.9229511487250246
0,2380,1.0,maniac,True,1.0
0,2380,0.999,maniac,True,1.0
0,2380,0.995,maniac,True,0.9999998989822299
0,2380,0.99,maniac,True,0.9985892483673914
0,2380,0.98,maniac,True,0.9344970233197042
0,2400,1.0,maniac,True,1.0
0,2400,0.999,maniac,True,1.0
0,2400,0.995,maniac,True,0.9999999243286822
0,2400,0.99,maniac,True,0.9990952647821508
0,2400,0.98,maniac,True,0.9597731635979668
0,2420,1.0,maniac,True,1.0
0,2420,0.999,maniac,True,1.0
0,2420,0.995,maniac,True,0.9999999987705246
0,2420,0.99,maniac,True,0.9999820774630362
0,2420,0.98,maniac,True,0.9986839195547603
0,2440,1.0,maniac,True,1.0
0,2440,0.999,maniac,True,1.0
0,2440,0.995,maniac,True,0.9999999890981978
0,2440,0.99,maniac,True,0.9998166812818992
0,2440,0.98,maniac,True,0.9812223625565654
0,2460,1.0,maniac,True,1.0
0,2460,0.999,maniac,True,1.0
0,2460,0.995,maniac,True,0.9999999780868727
0,2460,0.99,maniac,True,0.9996458697370101
0,2460,0.98,maniac,True,0.9672405901473782
0,2480,1.0,maniac,True,1.0
0,2480,0.999,maniac,True,1.0
0,2480,0.995,maniac,True,0.9999999969705848
0,2480,0.99,maniac,True,0.999946398954193
0,2480,0.98,maniac,True,0.9941659962309877
0,2500,1.0,maniac,True,1.0
0,2500,0.999,maniac,True,1.0
0,2500,0.995,maniac,True,0.9999999978660111
0,2500,0.99,maniac,True,0.9999586952496058
0,2500,0.98,maniac,True,0.9948627212295319
0,2520,1.0,maniac,True,1.0
0,2520,0.999,maniac,True,1.0
0,2520,0.995,maniac,True,0.9999999991093526
0,2520,0.99,maniac,True,0.9999808499635825
0,2520,0.98,maniac,True,0.9972759984584393
0,2540,1.0,maniac,True,1.0
0,2540,0.999,maniac,True,1.0
0,2540,0.995,maniac,True,0.9999999962436836
0,2540,0.99,maniac,True,0.9999150280341871
0,2540,0.98,maniac,True,0.987701028466604
