hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
480,before,maniac,maniac,True,0.9999999999987694,0.9999999999999296,0.058631688943165915,-75.0,1
500,before,maniac,maniac,True,0.9999999999999742,0.9999999999999987,0.05863168894323895,100.0,1
520,before,maniac,maniac,True,0.9999999999998753,0.9999999999999933,0.058631688943232944,-20.0,1
540,before,maniac,maniac,True,0.9999999999999993,1.0,0.05863168894324046,-75.0,1
560,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,105.0,1
580,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-15.0,1
600,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,50.0,1
620,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,155.0,1
640,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,245.0,1
660,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,20.0,1
680,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-135.0,1
700,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-110.0,1
720,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,60.0,1
740,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-110.0,1
760,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,20.0,1
780,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-65.0,1
800,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,80.0,1
820,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-10.0,1
840,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-75.0,1
860,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,125.0,1
880,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-110.0,1
900,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-40.0,1
920,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,25.0,1
940,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-65.0,1
960,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-50.0,1
980,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-60.0,1
1000,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-100.0,1
1020,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,70.0,1
1040,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-45.0,1
1060,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-60.0,1
1080,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,165.0,1
1100,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,25.0,1
1120,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-125.0,1
1140,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,35.0,1
1160,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,45.0,1
1180,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,180.0,1
1200,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-50.0,1
1220,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-70.0,1
1240,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,130.0,1
1260,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,120.0,1
1280,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,0.0,1
1300,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-90.0,1
1320,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-195.0,1
1340,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,0.0,1
1360,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-170.0,1
1380,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,80.0,1
1400,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,5.0,1
1420,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,65.0,1
1440,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,45.0,1
1460,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,75.0,1
1480,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-35.0,1
1500,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-155.0,1
1520,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,120.0,1
1540,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,40.0,1
1560,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-20.0,1
1580,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,70.0,1
1600,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-15.0,1
1620,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,70.0,1
1640,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,25.0,1
1660,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-55.0,1
1680,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-120.0,1
1700,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,55.0,1
1720,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-110.0,1
1740,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,55.0,1
1760,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-70.0,1
1780,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,115.0,1
1800,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-40.0,1
1820,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,175.0,1
1840,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-115.0,1
1860,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,85.0,1
1880,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-220.0,1
1900,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,125.0,1
1920,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,30.0,1
1940,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-115.0,1
1960,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,140.0,1
1980,before,maniac,maniac,True,1.0,1.0,0.0586316889432405,-80.0,1
2000,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-65.0,1
2020,after,nit,maniac,False,1.0,0.0,0.0586316889432405,170.0,1
2040,after,nit,maniac,False,1.0,0.0,0.0586316889432405,50.0,1
2060,after,nit,maniac,False,1.0,0.0,0.0586316889432405,5.0,1
2080,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-30.0,1
2100,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-60.0,1
2120,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-65.0,1
2140,after,nit,maniac,False,1.0,0.0,0.0586316889432405,120.0,1
2160,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-125.0,1
2180,after,nit,maniac,False,1.0,0.0,0.0586316889432405,50.0,1
2200,after,nit,maniac,False,1.0,0.0,0.0586316889432405,10.0,1
2220,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-120.0,1
2240,after,nit,maniac,False,1.0,0.0,0.0586316889432405,25.0,1
2260,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-15.0,1
2280,after,nit,maniac,False,1.0,0.0,0.0586316889432405,10.0,1
2300,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-140.0,1
2320,after,nit,maniac,False,1.0,0.0,0.0586316889432405,90.0,1
2340,after,nit,maniac,False,1.0,0.0,0.0586316889432405,-40.0,1
2360,after,nit,maniac,False,1.0,0.0,0.0586316889432405,115.0,1
2380,after,nit,maniac,False,0.9999999999999994,0.0,0.05863168894324047,-100.0,1
2400,after,nit,maniac,False,0.9999999999997098,0.0,0.058631688943222945,95.0,1
2420,after,nit,maniac,False,0.9999999998839155,0.0,0.05863168893616259,55.0,1
2440,after,nit,maniac,False,0.9999994708702976,0.0,0.0586316560654961,-85.0,1
2460,after,nit,maniac,False,0.9994052171693646,0.0,0.058593179104063864,-35.0,1
2480,after,nit,maniac,False,0.7573900916487318,0.0,0.06447424488132641,35.0,1
2500,after,nit,bluff_heavy,False,0.9385946960207613,0.0,0.05214466631889639,95.0,1
2520,after,nit,bluff_heavy,False,0.9999458086919343,0.0,0.051920243756098924,35.0,1
2540,after,nit,bluff_heavy,False,0.9999989915474489,0.0,0.05192213046443512,-85.0,1
2560,after,nit,bluff_heavy,False,0.9999999996521564,0.0,0.05192217043635912,-70.0,1
2580,after,nit,bluff_heavy,False,0.9999999999990766,0.0,0.05192217045151489,70.0,1
2600,after,nit,bluff_heavy,False,0.9999999999999991,0.0,0.051922170451556726,10.0,1
